_MEMBER_att_D_SCZ_1 - 0.9-1.1,_MEMBER_att_D_SCZ_1 - 4.5-5.5,_MEMBER_att_D_SCZ_1 - 9.0-11.0,_LogP_att_D_SCZ_1 - 0.9-1.1,_LogP_att_D_SCZ_1 - 4.5-5.5,_LogP_att_D_SCZ_1 - 9.0-11.0,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,0,0,-3.4,0,0,R-HSA-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,M100,1,0
1,0,0,-5.9,0,0,GO:0045785,positive regulation of cell adhesion,M100,1,0
1,0,0,-5.6,0,0,hsa05169,Epstein-Barr virus infection,M100,1,0
1,0,0,-8.6,0,0,GO:0071345,cellular response to cytokine stimulus,M100,1,0
1,0,0,-8,0,0,R-HSA-9031628,NGF-stimulated transcription,M100,1,0
0,1,0,0,-2.3,0,GO:0002832,negative regulation of response to biotic stimulus,M010,1,0
1,0,0,-2.4,0,0,GO:0046636,negative regulation of alpha-beta T cell activation,M100,1,0
0,1,0,0,-2.3,0,GO:0046545,development of primary female sexual characteristics,M010,1,0
1,0,0,-3.2,0,0,GO:0070663,regulation of leukocyte proliferation,M100,1,0
1,0,0,-6.8,0,0,hsa05161,Hepatitis B,M100,1,0
1,0,0,-3.5,0,0,GO:0051336,regulation of hydrolase activity,M100,1,0
1,0,0,-2.2,0,0,WP2858,Ectoderm differentiation,M100,1,0
1,0,0,-2.5,0,0,hsa05211,Renal cell carcinoma,M100,1,0
1,0,0,-7.2,0,0,GO:0002768,immune response-regulating cell surface receptor signaling pathway,M100,1,0
1,0,0,-2.3,0,0,GO:0046886,positive regulation of hormone biosynthetic process,M100,1,0
1,0,0,-2.2,0,0,GO:0060512,prostate gland morphogenesis,M100,1,0
1,0,0,-2.1,0,0,GO:0042060,wound healing,M100,1,0
1,0,0,-2,0,0,hsa04621,NOD-like receptor signaling pathway,M100,1,0
1,0,0,-3.5,0,0,GO:0071222,cellular response to lipopolysaccharide,M100,1,0
1,0,0,-2.6,0,0,GO:0097012,response to granulocyte macrophage colony-stimulating factor,M100,1,0
1,0,0,-3.1,0,0,WP399,Wnt signaling pathway and pluripotency,M100,1,0
1,0,0,-2.1,0,0,M26,PID NFKAPPAB ATYPICAL PATHWAY,M100,1,0
1,0,0,-3.8,0,0,GO:0032496,response to lipopolysaccharide,M100,1,0
1,0,0,-2.6,0,0,GO:0001736,establishment of planar polarity,M100,1,0
1,0,0,-6.7,0,0,GO:0002683,negative regulation of immune system process,M100,1,0
0,1,0,0,-2,0,GO:0072009,nephron epithelium development,M010,1,0
1,0,0,-2.6,0,0,R-HSA-3247509,Chromatin modifying enzymes,M100,1,0
1,0,0,-2.2,0,0,GO:0016064,immunoglobulin mediated immune response,M100,1,0
1,0,0,-3.4,0,0,WP4262,Breast cancer pathway,M100,1,0
1,0,0,-2.4,0,0,WP5092,Interactions of natural killer cells in pancreatic cancer,M100,1,0
1,0,0,-2.1,0,0,hsa04062,Chemokine signaling pathway,M100,1,0
1,0,0,-2.5,0,0,GO:0043065,positive regulation of apoptotic process,M100,1,0
1,0,0,-7,0,0,GO:0045596,negative regulation of cell differentiation,M100,1,0
1,0,0,-2.4,0,0,R-HSA-1433557,Signaling by SCF-KIT,M100,1,0
0,0,1,0,0,-2.4,GO:0050767,regulation of neurogenesis,M001,1,0
1,0,0,-2.2,0,0,GO:0048745,smooth muscle tissue development,M100,1,0
1,0,0,-4,0,0,GO:0045765,regulation of angiogenesis,M100,1,0
1,0,0,-2.6,0,0,GO:0002312,B cell activation involved in immune response,M100,1,0
1,0,0,-4.6,0,0,GO:0060322,head development,M100,1,0
1,0,0,-3.9,0,0,WP710,DNA damage response only ATM dependent,M100,1,0
1,0,0,-2.6,0,0,M279,PID RB 1PATHWAY,M100,1,0
1,0,0,-2.8,0,0,WP299,Nuclear receptors in lipid metabolism and toxicity,M100,1,0
1,0,0,-2.3,0,0,hsa05208,Chemical carcinogenesis - reactive oxygen species,M100,1,0
1,0,0,-3,0,0,GO:0045064,T-helper 2 cell differentiation,M100,1,0
1,0,0,-2.3,0,0,R-HSA-9664323,FCGR3A-mediated IL10 synthesis,M100,1,0
1,0,0,-2.8,0,0,WP4559,Interactions between immune cells and microRNAs in tumor microenvironment,M100,1,0
1,0,0,-2.8,0,0,R-HSA-5621481,C-type lectin receptors (CLRs),M100,1,0
1,0,0,-3.3,0,0,WP34,Ovarian infertility,M100,1,0
0,1,0,0,-3.3,0,GO:0007219,Notch signaling pathway,M010,1,0
1,0,0,-4.9,0,0,GO:2001185,"regulation of CD8-positive, alpha-beta T cell activation",M100,1,0
1,0,0,-5.5,0,0,WP2882,Nuclear receptors meta pathway,M100,1,0
1,0,0,-6.2,0,0,GO:0009952,anterior/posterior pattern specification,M100,1,0
1,0,0,-2.7,0,0,WP5180,DYRK1A involvement regarding cell proliferation in brain development,M100,1,0
1,0,0,-5.3,0,0,WP2849,Hematopoietic stem cell differentiation,M100,1,0
1,0,0,-3.4,0,0,WP2011,SREBF and miR33 in cholesterol and lipid homeostasis,M100,1,0
1,0,0,-2.4,0,0,WP4321,Thermogenesis,M100,1,0
1,0,0,-3.8,0,0,R-HSA-2172127,DAP12 interactions,M100,1,0
1,0,0,-2.4,0,0,GO:0002068,glandular epithelial cell development,M100,1,0
1,0,0,-2.2,0,0,GO:0043068,positive regulation of programmed cell death,M100,1,0
1,0,0,-3.3,0,0,R-HSA-168181,Toll Like Receptor 7/8 (TLR7/8) Cascade,M100,1,0
1,0,0,-3.5,0,0,GO:0002774,Fc receptor mediated inhibitory signaling pathway,M100,1,0
1,0,0,-2,0,0,GO:0006109,regulation of carbohydrate metabolic process,M100,1,0
1,0,0,-2,0,0,GO:0042327,positive regulation of phosphorylation,M100,1,0
1,0,0,-2.2,0,0,GO:0002726,positive regulation of T cell cytokine production,M100,1,0
1,0,0,-3.1,0,0,R-HSA-9664407,Parasite infection,M100,1,0
1,0,0,-4.7,0,0,GO:0050777,negative regulation of immune response,M100,1,0
1,0,0,-4.1,0,0,hsa05215,Prostate cancer,M100,1,0
1,0,0,-4,0,0,GO:0043300,regulation of leukocyte degranulation,M100,1,0
0,1,0,0,-2.8,0,GO:0001503,ossification,M010,1,0
1,0,0,-2.8,0,0,GO:0046651,lymphocyte proliferation,M100,1,0
1,0,0,-2.4,0,0,GO:0043586,tongue development,M100,1,0
1,0,0,-2.3,0,0,GO:0002887,negative regulation of myeloid leukocyte mediated immunity,M100,1,0
0,1,0,0,-2.3,0,GO:0062197,cellular response to chemical stress,M010,1,0
1,0,0,-5.2,0,0,GO:0006954,inflammatory response,M100,1,0
1,0,0,-3.3,0,0,GO:0002709,regulation of T cell mediated immunity,M100,1,0
1,0,0,-2.8,0,0,WP3646,Hepatitis C and hepatocellular carcinoma,M100,1,0
1,0,0,-3,0,0,GO:0010888,negative regulation of lipid storage,M100,1,0
1,0,0,-3.5,0,0,WP5381,Smith Magenis and Potocki Lupski syndrome copy number variation,M100,1,0
1,0,0,-3,0,0,GO:0045670,regulation of osteoclast differentiation,M100,1,0
1,0,0,-2.1,0,0,R-HSA-913531,Interferon Signaling,M100,1,0
1,0,0,-4.2,0,0,GO:0002763,positive regulation of myeloid leukocyte differentiation,M100,1,0
1,0,0,-4.8,0,0,GO:0002831,regulation of response to biotic stimulus,M100,1,0
1,0,0,-4.8,0,0,GO:0036293,response to decreased oxygen levels,M100,1,0
1,0,0,-3.7,0,0,GO:0030225,macrophage differentiation,M100,1,0
1,0,0,-3,0,0,M115,PID REG GR PATHWAY,M100,1,0
1,0,0,-4.2,0,0,GO:0007420,brain development,M100,1,0
0,1,0,0,-2.1,0,GO:0031960,response to corticosteroid,M010,1,0
1,0,0,-3.5,0,0,GO:0050728,negative regulation of inflammatory response,M100,1,0
1,0,0,-2.1,0,0,hsa04934,Cushing syndrome,M100,1,0
0,1,0,0,-2.5,0,GO:0022037,metencephalon development,M010,1,0
1,0,0,-3.4,0,0,WP712,Estrogen signaling pathway,M100,1,0
1,0,0,-4.4,0,0,R-HSA-168164,Toll Like Receptor 3 (TLR3) Cascade,M100,1,0
1,0,0,-3.3,0,0,GO:0032944,regulation of mononuclear cell proliferation,M100,1,0
1,0,0,-3.2,0,0,GO:0003143,embryonic heart tube morphogenesis,M100,1,0
1,0,0,-3,0,0,hsa05221,Acute myeloid leukemia,M100,1,0
1,0,0,-3.2,0,0,GO:0045834,positive regulation of lipid metabolic process,M100,1,0
1,0,0,-2.5,0,0,GO:0050851,antigen receptor-mediated signaling pathway,M100,1,0
1,0,0,-2.5,0,0,GO:0030336,negative regulation of cell migration,M100,1,0
1,0,0,-2.5,0,0,GO:0001704,formation of primary germ layer,M100,1,0
1,0,0,-3.2,0,0,GO:0010885,regulation of cholesterol storage,M100,1,0
1,0,0,-2.1,0,0,GO:0043299,leukocyte degranulation,M100,1,0
1,0,0,-2.8,0,0,GO:0032350,regulation of hormone metabolic process,M100,1,0
1,0,0,-3.8,0,0,hsa04613,Neutrophil extracellular trap formation,M100,1,0
1,0,0,-2.6,0,0,GO:0019217,regulation of fatty acid metabolic process,M100,1,0
1,0,0,-5.5,0,0,GO:0002699,positive regulation of immune effector process,M100,1,0
1,0,0,-2.9,0,0,GO:0060972,left/right pattern formation,M100,1,0
1,0,0,-3,0,0,GO:0035270,endocrine system development,M100,1,0
1,0,0,-3.1,0,0,GO:2000736,regulation of stem cell differentiation,M100,1,0
1,0,0,-3.6,0,0,GO:0048340,paraxial mesoderm morphogenesis,M100,1,0
1,0,0,-2,0,0,GO:0001655,urogenital system development,M100,1,0
1,0,0,-2.7,0,0,GO:0071560,cellular response to transforming growth factor beta stimulus,M100,1,0
1,0,0,-2.5,0,0,GO:0033003,regulation of mast cell activation,M100,1,0
1,0,0,-2.1,0,0,R-HSA-6798695,Neutrophil degranulation,M100,1,0
1,0,0,-2.2,0,0,GO:0001936,regulation of endothelial cell proliferation,M100,1,0
1,0,0,-2.1,0,0,GO:1901861,regulation of muscle tissue development,M100,1,0
1,0,0,-3.4,0,0,R-HSA-975138,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,M100,1,0
1,0,0,-3.8,0,0,WP4239,Epithelial to mesenchymal transition in colorectal cancer,M100,1,0
1,0,0,-3.7,0,0,WP4879,Overlap between signal transduction pathways contributing to LMNA laminopathies,M100,1,0
1,0,0,-3,0,0,GO:0002478,antigen processing and presentation of exogenous peptide antigen,M100,1,0
1,0,0,-2.8,0,0,GO:0050679,positive regulation of epithelial cell proliferation,M100,1,0
1,0,0,-7.3,0,0,hsa05200,Pathways in cancer,M100,1,0
1,0,0,-2.2,0,0,GO:0009611,response to wounding,M100,1,0
1,0,0,-9.3,0,0,WP1541,Energy metabolism,M100,1,0
1,0,0,-2.1,0,0,GO:0032729,positive regulation of type II interferon production,M100,1,0
1,0,0,-5.1,0,0,M229,PID P38 ALPHA BETA DOWNSTREAM PATHWAY,M100,1,0
1,0,0,-3.3,0,0,hsa04915,Estrogen signaling pathway,M100,1,0
1,0,0,-4,0,0,R-HSA-450282,MAPK targets/ Nuclear events mediated by MAP kinases,M100,1,0
1,0,0,-3.5,0,0,GO:0032868,response to insulin,M100,1,0
1,0,0,-3.9,0,0,R-HSA-2454202,Fc epsilon receptor (FCERI) signaling,M100,1,0
1,0,0,-4.8,0,0,GO:0051091,positive regulation of DNA-binding transcription factor activity,M100,1,0
1,0,0,-3,0,0,GO:0001947,heart looping,M100,1,0
0,1,0,0,-2.4,0,GO:0008406,gonad development,M010,1,0
1,0,0,-3.2,0,0,R-HSA-912631,Regulation of signaling by CBL,M100,1,0
1,0,0,-4.9,0,0,GO:0002706,regulation of lymphocyte mediated immunity,M100,1,0
1,0,0,-2.9,0,0,GO:0021766,hippocampus development,M100,1,0
1,0,0,-2.7,0,0,R-HSA-909733,Interferon alpha/beta signaling,M100,1,0
1,0,0,-2.3,0,0,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0072331,signal transduction by p53 class mediator,M100,1,0
1,0,0,-2.7,0,0,hsa04657,IL-17 signaling pathway,M100,1,0
1,0,0,-2.6,0,0,GO:0002067,glandular epithelial cell differentiation,M100,1,0
1,0,0,-2.6,0,0,WP5318,Female steroid hormones in cardiomyocyte energy metabolism,M100,1,0
1,0,0,-2.3,0,0,GO:0003413,chondrocyte differentiation involved in endochondral bone morphogenesis,M100,1,0
1,0,0,-3.5,0,0,R-HSA-389359,CD28 dependent Vav1 pathway,M100,1,0
1,0,0,-3.6,0,0,GO:0006111,regulation of gluconeogenesis,M100,1,0
1,0,0,-4.7,0,0,WP2034,Leptin signaling pathway,M100,1,0
1,0,0,-2.5,0,0,GO:0042088,T-helper 1 type immune response,M100,1,0
1,0,0,-3.4,0,0,GO:0031342,negative regulation of cell killing,M100,1,0
1,0,0,-2.2,0,0,GO:0035855,megakaryocyte development,M100,1,0
1,0,0,-2.5,0,0,GO:0001816,cytokine production,M100,1,0
1,0,0,-2.3,0,0,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,M100,1,0
1,0,0,-2.4,0,0,GO:0001916,positive regulation of T cell mediated cytotoxicity,M100,1,0
1,0,0,-4.3,0,0,R-HSA-166166,MyD88-independent TLR4 cascade,M100,1,0
1,0,0,-2.6,0,0,CORUM:1372,Rb-tal-1-E2A-Lmo2-Ldb1 complex,M100,1,0
1,0,0,-2.1,0,0,GO:1902075,cellular response to salt,M100,1,0
1,0,0,-2.4,0,0,GO:0014741,negative regulation of muscle hypertrophy,M100,1,0
1,0,0,-4,0,0,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,M100,1,0
1,0,0,-4.3,0,0,hsa05152,Tuberculosis,M100,1,0
1,0,0,-3.5,0,0,R-HSA-168188,Toll Like Receptor TLR6:TLR2 Cascade,M100,1,0
0,1,0,0,-2.5,0,GO:0048644,muscle organ morphogenesis,M010,1,0
1,0,0,-3.5,0,0,GO:0002758,innate immune response-activating signaling pathway,M100,1,0
1,0,0,-2.1,0,0,GO:0090103,cochlea morphogenesis,M100,1,0
1,0,0,-3.5,0,0,hsa05224,Breast cancer,M100,1,0
1,0,0,-3,0,0,CORUM:1054,ESR1-RELA-BCL3-NCOA3 complex,M100,1,0
1,0,0,-2.6,0,0,CORUM:2084,NFKB1-NFKB2-REL-RELA-RELB complex,M100,1,0
1,0,0,-3.8,0,0,WP5218,Extrafollicular and follicular B cell activation by SARS CoV 2,M100,1,0
1,0,0,-2.1,0,0,GO:1901739,regulation of myoblast fusion,M100,1,0
1,0,0,-2.1,0,0,R-HSA-512988,"Interleukin-3, Interleukin-5 and GM-CSF signaling",M100,1,0
1,0,0,-2.1,0,0,hsa04931,Insulin resistance,M100,1,0
1,0,0,-2.4,0,0,GO:0032692,negative regulation of interleukin-1 production,M100,1,0
1,0,0,-3,0,0,GO:0003417,growth plate cartilage development,M100,1,0
1,0,0,-3.5,0,0,R-HSA-181438,Toll Like Receptor 2 (TLR2) Cascade,M100,1,0
1,0,0,-4.4,0,0,R-HSA-9615017,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",M100,1,0
1,0,0,-2.2,0,0,GO:0050873,brown fat cell differentiation,M100,1,0
1,0,0,-2.3,0,0,GO:0010212,response to ionizing radiation,M100,1,0
1,0,0,-3.4,0,0,GO:0002220,innate immune response activating cell surface receptor signaling pathway,M100,1,0
1,0,0,-3.5,0,0,R-HSA-168179,Toll Like Receptor TLR1:TLR2 Cascade,M100,1,0
1,0,0,-2.2,0,0,M7,PID FCER1 PATHWAY,M100,1,0
1,0,0,-2.5,0,0,R-HSA-9614657,FOXO-mediated transcription of cell death genes,M100,1,0
1,0,0,-4,0,0,GO:0002705,positive regulation of leukocyte mediated immunity,M100,1,0
1,0,0,-2.6,0,0,R-HSA-2029480,Fcgamma receptor (FCGR) dependent phagocytosis,M100,1,0
1,0,0,-4.3,0,0,R-HSA-8878159,Transcriptional regulation by RUNX3,M100,1,0
1,0,0,-2.7,0,0,WP2112,IL 17 signaling pathway,M100,1,0
1,0,0,-2.1,0,0,R-HSA-3700989,Transcriptional Regulation by TP53,M100,1,0
0,1,0,0,-2.1,0,GO:0046660,female sex differentiation,M010,1,0
1,0,0,-2.8,0,0,M30,PID HDAC CLASSII PATHWAY,M100,1,0
1,0,0,-2.3,0,0,GO:0042473,outer ear morphogenesis,M100,1,0
1,0,0,-6.7,0,0,WP4666,Hepatitis B infection,M100,1,0
1,0,0,-3.4,0,0,R-HSA-983231,Factors involved in megakaryocyte development and platelet production,M100,1,0
1,0,0,-2.9,0,0,GO:0042742,defense response to bacterium,M100,1,0
1,0,0,-2.3,0,0,GO:0010935,regulation of macrophage cytokine production,M100,1,0
1,0,0,-3.9,0,0,M8626,SIG BCR SIGNALING PATHWAY,M100,1,0
1,0,0,-3.7,0,0,R-HSA-9614085,FOXO-mediated transcription,M100,1,0
1,0,0,-2.6,0,0,GO:0097011,cellular response to granulocyte macrophage colony-stimulating factor stimulus,M100,1,0
1,0,0,-2.7,0,0,GO:0071480,cellular response to gamma radiation,M100,1,0
1,0,0,-2.6,0,0,GO:0007164,establishment of tissue polarity,M100,1,0
1,0,0,-2.5,0,0,GO:0046643,regulation of gamma-delta T cell activation,M100,1,0
1,0,0,-2.4,0,0,GO:1903530,regulation of secretion by cell,M100,1,0
1,0,0,-3.4,0,0,GO:0050680,negative regulation of epithelial cell proliferation,M100,1,0
1,0,0,-2.7,0,0,GO:0060711,labyrinthine layer development,M100,1,0
1,0,0,-3.9,0,0,hsa04650,Natural killer cell mediated cytotoxicity,M100,1,0
1,0,0,-2.1,0,0,GO:0009948,anterior/posterior axis specification,M100,1,0
1,0,0,-2.2,0,0,GO:0045937,positive regulation of phosphate metabolic process,M100,1,0
1,0,0,-3.2,0,0,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,M100,1,0
1,0,0,-2.5,0,0,GO:0071425,hematopoietic stem cell proliferation,M100,1,0
1,0,0,-4.2,0,0,GO:0002702,positive regulation of production of molecular mediator of immune response,M100,1,0
1,0,0,-2.1,0,0,GO:0033151,V(D)J recombination,M100,1,0
1,0,0,-2.9,0,0,GO:0006959,humoral immune response,M100,1,0
1,0,0,-2.3,0,0,CORUM:5230,CHUK-NFKB2-REL-IKBKG-SPAG9-NFKB1-NFKBIE-COPB2-TNIP1-NFKBIA-RELA-TNIP2 complex,M100,1,0
1,0,0,-2.5,0,0,M234,PID IL2 STAT5 PATHWAY,M100,1,0
1,0,0,-2.4,0,0,GO:0051345,positive regulation of hydrolase activity,M100,1,0
1,0,0,-5.7,0,0,R-HSA-8943724,Regulation of PTEN gene transcription,M100,1,0
1,0,0,-2.7,0,0,GO:0032736,positive regulation of interleukin-13 production,M100,1,0
1,0,0,-2.3,0,0,R-HSA-1606322,ZBP1(DAI) mediated induction of type I IFNs,M100,1,0
1,0,0,-7.1,0,0,R-HSA-400253,Circadian Clock,M100,1,0
1,0,0,-3.6,0,0,GO:0071559,response to transforming growth factor beta,M100,1,0
1,0,0,-3.4,0,0,GO:0001914,regulation of T cell mediated cytotoxicity,M100,1,0
1,0,0,-2.4,0,0,GO:0045591,positive regulation of regulatory T cell differentiation,M100,1,0
1,0,0,-2,0,0,WP4746,Thyroid hormones production and peripheral downstream signaling effects,M100,1,0
1,0,0,-3,0,0,GO:0007368,determination of left/right symmetry,M100,1,0
1,0,0,-3,0,0,GO:1901655,cellular response to ketone,M100,1,0
1,0,0,-3.6,0,0,GO:1903146,regulation of autophagy of mitochondrion,M100,1,0
1,0,0,-2.1,0,0,GO:2000144,positive regulation of DNA-templated transcription initiation,M100,1,0
1,0,0,-2.8,0,0,GO:0009314,response to radiation,M100,1,0
0,1,0,0,-2.3,0,GO:0051384,response to glucocorticoid,M010,1,0
1,0,0,-2.3,0,0,hsa05131,Shigellosis,M100,1,0
1,0,0,-2.1,0,0,GO:0001944,vasculature development,M100,1,0
1,0,0,-2.1,0,0,GO:0060674,placenta blood vessel development,M100,1,0
1,0,0,-2.3,0,0,hsa05210,Colorectal cancer,M100,1,0
1,0,0,-3.1,0,0,R-HSA-9664417,Leishmania phagocytosis,M100,1,0
1,0,0,-2.1,0,0,WP4585,Cancer immunotherapy by PD 1 blockade,M100,1,0
1,0,0,-2.7,0,0,GO:0050900,leukocyte migration,M100,1,0
1,0,0,-5,0,0,R-HSA-983705,Signaling by the B Cell Receptor (BCR),M100,1,0
1,0,0,-4.6,0,0,GO:0061515,myeloid cell development,M100,1,0
0,1,0,0,-3.2,0,GO:0033002,muscle cell proliferation,M010,1,0
1,0,0,-2.3,0,0,GO:0002071,glandular epithelial cell maturation,M100,1,0
1,0,0,-2.4,0,0,GO:0060438,trachea development,M100,1,0
0,1,0,0,-2.3,0,GO:0045137,development of primary sexual characteristics,M010,1,0
1,0,0,-4.3,0,0,WP734,Serotonin receptor 4 6 7 and NR3C signaling,M100,1,0
1,0,0,-2.4,0,0,GO:0002711,positive regulation of T cell mediated immunity,M100,1,0
1,0,0,-6.5,0,0,GO:0002366,leukocyte activation involved in immune response,M100,1,0
1,0,0,-2.3,0,0,GO:0046321,positive regulation of fatty acid oxidation,M100,1,0
1,0,0,-3.1,0,0,GO:0009299,mRNA transcription,M100,1,0
1,0,0,-3.3,0,0,GO:0071453,cellular response to oxygen levels,M100,1,0
1,0,0,-2.7,0,0,R-HSA-877300,Interferon gamma signaling,M100,1,0
1,0,0,-2.7,0,0,R-HSA-9664424,Cell recruitment (pro-inflammatory response),M100,1,0
1,0,0,-2.6,0,0,R-HSA-9027284,Erythropoietin activates RAS,M100,1,0
1,0,0,-2.1,0,0,GO:0097720,calcineurin-mediated signaling,M100,1,0
1,0,0,-2.1,0,0,R-HSA-3214841,PKMTs methylate histone lysines,M100,1,0
0,1,0,0,-3.5,0,GO:0048839,inner ear development,M010,1,0
1,0,0,-2.7,0,0,WP4336,ncRNAs involved in Wnt signaling in hepatocellular carcinoma,M100,1,0
1,0,0,-2.3,0,0,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,M100,1,0
1,0,0,-5.8,0,0,WP69,T cell receptor signaling pathway,M100,1,0
0,1,0,0,-2.4,0,GO:0048844,artery morphogenesis,M010,1,0
1,0,0,-2.1,0,0,R-HSA-170834,Signaling by TGF-beta Receptor Complex,M100,1,0
1,0,0,-2.4,0,0,GO:0031401,positive regulation of protein modification process,M100,1,0
1,0,0,-2.1,0,0,WP722,Serotonin HTR1 group and FOS pathway,M100,1,0
0,1,0,0,-3.4,0,GO:0014855,striated muscle cell proliferation,M010,1,0
1,0,0,-3.8,0,0,GO:0050868,negative regulation of T cell activation,M100,1,0
1,0,0,-4,0,0,WP4211,Transcriptional cascade regulating adipogenesis,M100,1,0
1,0,0,-3.1,0,0,WP2817,Mammary gland development pathway Pregnancy and lactation Stage 3 of 4,M100,1,0
1,0,0,-7.6,0,0,R-HSA-198725,Nuclear Events (kinase and transcription factor activation),M100,1,0
1,0,0,-2.3,0,0,GO:0002475,antigen processing and presentation via MHC class Ib,M100,1,0
1,0,0,-8.8,0,0,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M100,1,0
1,0,0,-2.6,0,0,GO:0031668,cellular response to extracellular stimulus,M100,1,0
1,0,0,-3.2,0,0,GO:0010887,negative regulation of cholesterol storage,M100,1,0
1,0,0,-2.7,0,0,M34,PID TCR PATHWAY,M100,1,0
1,0,0,-9.3,0,0,GO:2000629,negative regulation of miRNA metabolic process,M100,1,0
0,1,0,0,-2.1,0,GO:0001657,ureteric bud development,M010,1,0
1,0,0,-3.2,0,0,WP5348,11p11 2 copy number variation syndrome,M100,1,0
1,0,0,-2.7,0,0,GO:1904888,cranial skeletal system development,M100,1,0
1,0,0,-2.1,0,0,GO:0007350,blastoderm segmentation,M100,1,0
1,0,0,-4,0,0,WP1982,Sterol regulatory element binding proteins SREBP signaling,M100,1,0
1,0,0,-3,0,0,GO:0036294,cellular response to decreased oxygen levels,M100,1,0
1,0,0,-2.7,0,0,R-HSA-8878166,Transcriptional regulation by RUNX2,M100,1,0
1,0,0,-3.6,0,0,GO:0048821,erythrocyte development,M100,1,0
1,0,0,-2.5,0,0,GO:0048634,regulation of muscle organ development,M100,1,0
1,0,0,-2.4,0,0,GO:0050671,positive regulation of lymphocyte proliferation,M100,1,0
1,0,0,-2.1,0,0,GO:0006979,response to oxidative stress,M100,1,0
1,0,0,-3.4,0,0,R-HSA-8853884,Transcriptional Regulation by VENTX,M100,1,0
1,0,0,-3,0,0,GO:0060601,lateral sprouting from an epithelium,M100,1,0
1,0,0,-2.5,0,0,hsa05213,Endometrial cancer,M100,1,0
1,0,0,-5,0,0,GO:0032922,circadian regulation of gene expression,M100,1,0
1,0,0,-3,0,0,GO:0098868,bone growth,M100,1,0
1,0,0,-3,0,0,GO:0070665,positive regulation of leukocyte proliferation,M100,1,0
1,0,0,-3.6,0,0,GO:0002200,somatic diversification of immune receptors,M100,1,0
1,0,0,-2.8,0,0,GO:0032946,positive regulation of mononuclear cell proliferation,M100,1,0
1,0,0,-2.8,0,0,WP363,Wnt signaling pathway,M100,1,0
1,0,0,-2.7,0,0,WP4816,TGF beta receptor signaling in skeletal dysplasias,M100,1,0
1,0,0,-2.5,0,0,R-HSA-2559583,Cellular Senescence,M100,1,0
1,0,0,-3.3,0,0,hsa04710,Circadian rhythm,M100,1,0
1,0,0,-3.2,0,0,GO:0003416,endochondral bone growth,M100,1,0
1,0,0,-3.8,0,0,GO:0048384,retinoic acid receptor signaling pathway,M100,1,0
1,0,0,-7.4,0,0,GO:0032870,cellular response to hormone stimulus,M100,1,0
1,0,0,-6,0,0,GO:0002429,immune response-activating cell surface receptor signaling pathway,M100,1,0
1,0,0,-2.5,0,0,R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,M100,1,0
1,0,0,-3.6,0,0,GO:0010906,regulation of glucose metabolic process,M100,1,0
1,0,0,-2.6,0,0,GO:1990868,response to chemokine,M100,1,0
1,0,0,-8.5,0,0,R-HSA-383280,Nuclear Receptor transcription pathway,M100,1,0
1,0,0,-2.3,0,0,GO:0034502,protein localization to chromosome,M100,1,0
1,0,0,-2.1,0,0,GO:0061458,reproductive system development,M100,1,0
1,0,0,-2.1,0,0,GO:0014745,negative regulation of muscle adaptation,M100,1,0
1,0,0,-7,0,0,GO:0002764,immune response-regulating signaling pathway,M100,1,0
1,0,0,-2.1,0,0,R-HSA-5688426,Deubiquitination,M100,1,0
1,0,0,-3.4,0,0,WP437,EGF EGFR signaling pathway,M100,1,0
1,0,0,-3.6,0,0,GO:0032909,regulation of transforming growth factor beta2 production,M100,1,0
1,0,0,-3.2,0,0,GO:0071216,cellular response to biotic stimulus,M100,1,0
1,0,0,-6.9,0,0,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M100,1,0
1,0,0,-3,0,0,CORUM:2536,PLC-gamma-2-SLP-76-Lyn-Grb2 complex,M100,1,0
1,0,0,-2,0,0,GO:0030509,BMP signaling pathway,M100,1,0
1,0,0,-2.2,0,0,GO:0048762,mesenchymal cell differentiation,M100,1,0
1,0,0,-2.8,0,0,GO:0002221,pattern recognition receptor signaling pathway,M100,1,0
1,0,0,-3.2,0,0,M19,PID P73PATHWAY,M100,1,0
1,0,0,-2.6,0,0,GO:0048806,genitalia development,M100,1,0
1,0,0,-2.5,0,0,GO:0016447,somatic recombination of immunoglobulin gene segments,M100,1,0
1,0,0,-2.5,0,0,GO:0048534,hematopoietic or lymphoid organ development,M100,1,0
1,0,0,-2.4,0,0,GO:0098727,maintenance of cell number,M100,1,0
1,0,0,-2.3,0,0,hsa04922,Glucagon signaling pathway,M100,1,0
1,0,0,-2.8,0,0,GO:0051148,negative regulation of muscle cell differentiation,M100,1,0
