att_D_AD_1.M35115.Oligo,att_D_AD_2.M35115.Micro,att_D_AD_2.M35594.Micro,att_D_AD_2.M35115.Oligo,att_D_AD_2.M35594.Oligo,att_D_SCZ_2.M35115.Oligo,att_D_no_prior_0.M35594.OPC,att_D_no_prior_2.M35594.OPC,att_D_AD_1,att_D_AD_2,att_D_SCZ_1,att_D_SCZ_2,att_D_no_prior_0,att_D_no_prior_1,att_D_no_prior_2,att_D_no_prior_3,_BACKGROUND
,,,,,,,,,,,,,,,,CNTNAP5
,,,,,,,,,,,,,,,,COBLL1
,,,,,,,,,,,,,,,,COL10A1
,,,,,,,,,,,,,,,,COL11A1
,,,,,,,,,,,,,,,,COL12A1
,,,,,,,,,,,,,,,,COL13A1
,,,,,,,,,,,,,,,,COL14A1
,,,,,,,,,,,,,,,,COL15A1
,,,,,,,,,,,,,,,,COL18A1
,,,,,,,,,,,,,,,,COL1A2
,,,,,,,,,,,,,,,,COL20A1
,,,,,,,,,,,,,,,,COL21A1
,,,,,,,,,,,,,,,,COL23A1
,,,,,,,,,,,,,,,,COL24A1
,,,,,,,,,,,,,,,,COL25A1
,,,,,,,,,,,,,,,,COL27A1
,,,,,,,,,,,,,,,,COL3A1
,,,,,,,,,,,,,,,,COL4A1
,,,,,,,,,,,,,,,,COL4A2
,,,,,,,,,,,,,,,,COL4A3
,,,,,,,,,,,,,,,,COL4A4
,,,,,,,,,,,,,,,,COL4A5
,,,,,,,,,,,,,,,,COL4A6
,,,,,,,,,,,,,,,,COL5A2
,,,,,,,,,,,,,,,,COL5A3
,,,,,,,,,,,,,,,,COL6A2
,,,,,,,,,,,,,,,,COL6A3
,,,,,,,,,,,,,,,,COL6A6
,,,,,,,,,,,,,,,,COL8A1
,,,,,,,,,,,,,,,,COL8A2
,,,,,,,,,,,,,,,,COL9A1
,,,,,,,,,,,,,,,,COL9A2
,,,,,,,,,,,,,,,,COL9A3
,,,,,,,,,,,,,,,,COLEC12
,,,,,,,,,,,,,,,,COLGALT1
,,,,,,,,,,,,,,,,COLGALT2
,,,,,,,,,,,,,,,,COPE
,,,,,,,,,,,,,,,,COQ2
,,,,,,,,,,,,,,,,CORO1B
,,,,,,,,,,,,,,,,COTL1
,,,,,,,,,,,,,,,,CP
,,,,,,,,,,,,,,,,CPA1
,,,,,,,,,,,,,,,,CPA6
,,,,,,,,,,,,,,,,CPAMD8
,,,,,,,,,,,,,,,,CPB1
,,,,,,,,,,,,,,,,CPB2
,,,,,,,,,,,,,,,,CPB2-AS1
,,,,,,,,,,,,,,,,CPE
,,,,,,,,,,,,,,,,CPEB1
,,,,,,,,,,,,,,,,CPED1
,,,,,,,,,,,,,,,,CPM
,,,,,,,,,,,,,,,,CPNE4
,,,,,,,,,,,,,,,,CPNE8
,,,,,,,,,,,,,,,,CPO
,,,,,,,,,,,,,,,,CPOX
,,,,,,,,,,,,,,,,CPS1
,,,,,,,,,,,,,,,,CPSF4
,,,,,,,,,,,,,,,,CPT1A
,,,,,,,,,,,,,,,,CPTP
,,,,,,,,,,,,,,,,CPVL
,,,,,,,,,,,,,,,,CPXM2
,,,,,,,,,,,,,,,,CR1
,,,,,,,,,,,,,,,,CRAT37
,,,,,,,,,,,,,,,,CRB1
,,,,,,,,,,,,,,,,CRB2
,,,,,,,,,,,,,,,,CREB1
,,,,,,,,,,,,,,,,CREB3
,,,,,,,,,,,,,,,,CREB3L1
,,,,,,,,,,,,,,,,CREB3L2
,,,,,,,,,,,,,,,,CREB3L4
,,,,,,,,,,,,,,,,CREB5
,,,,,,,,,,,,,,,,CREBL2
,,,,,,,,,,,,,,,,CREBZF
,,,,,,,,,,,,,,,,CREM
,,,,,,,,,,,,,,,,CRH
,,,,,,,,,,,,,,,,CRHBP
,,,,,,,,,,,,,,,,CRIM1
,,,,,,,,,,,,,,,,CRISPLD1
,,,,,,,,,,,,,,,,CRISPLD2
,,,,,,,,,,,,,,,,CRLF1
,,,,,,,,,,,,,,,,CRTC2
,,,,,,,,,,,,,,,,CRTC3-AS1
,,,,,,,,,,,,,,,,CRX
,,,,,,,,,,,,,,,,CRYAB
,,,,,,,,,,,,,,,,CRYBG3
,,,,,,,,,,,,,,,,CSF1
,,,,,,,,,,,,,,,,CSF1R
,,,,,,,,,,,,,,,,CSF3R
,,,,,,,,,,,,,,,,CSGALNACT1
,,,,,,,,,,,,,,,,CSPG4
,,,,,,,,,,,,,,,,CSRNP1
,,,,,,,,,,,,,,,,CSRP1
,,,,,,,,,,,,,,,,CSRP2
,,,,,,,,,,,,,,,,CST3
,,,,,,,,,,,,,,,,CSTF2
,,,,,,,,,,,,,,,,CTBP1
,,,,,,,,,,,,,,,,CTBP1-AS
,,,,,,,,,,,,,,,,CTCF
,,,,,,,,,,,,,,,,CTCFL
,,,,,,,,,,,,,,,,CTD-2350J17.1
,,,,,,,,,,,,,,,,CTDSP1
,,,,,,,,,,,,,,,,CTH
,,,,,,,,,,,,,,,,CTNNA2
,,,,,,,,,,,,,,,,CTNNB1
,,,,,,,,,,,,,,,,CTNS
,,,,,,,,,,,,,,,,CTSB
,,,,,,,,,,,,,,,,CTSC
,,,,,,,,,,,,,,,,CTSH
,,,,,,,,,,,,,,,,CTSL
,,,,,,,,,,,,,,,,CTSO
,,,,,,,,,,,,,,,,CTSS
,,,,,,,,,,,,,,,,CTSZ
,,,,,,,,,,,,,,,,CTTNBP2NL
,,,,,,,,,,,,,,,,CUBN
,,,,,,,,,,,,,,,,CUX1
,,,,,,,,,,,,,,,,CUX2
,,,,,,,,,,,,,,,,CX3CR1
,,,,,,,,,,,,,,,,CXCL12
,,,,,,,,,,,,,,,,CXCL14
,,,,,,,,,,,,,,,,CXCL16
,,,,,,,,,,,,,,,,CXCR4
,,,,,,,,,,,,,,,,CXXC1
,,,,,,,,,,,,,,,,CXXC5
,,,,,,,,,,,,,,,,CYB5R1
,,,,,,,,,,,,,,,,CYB5R2
,,,,,,,,,,,,,,,,CYBA
,,,,,,,,,,,,,,,,CYBRD1
,,,,,,,,,,,,,,,,CYCS
,,,,,,,,,,,,,,,,CYFIP1
,,,,,,,,,,,,,,,,CYP1B1
,,,,,,,,,,,,,,,,CYP1B1-AS1
,,,,,,,,,,,,,,,,CYP27C1
,,,,,,,,,,,,,,,,CYP39A1
,,,,,,,,,,,,,,,,CYP3A5
,,,,,,,,,,,,,,,,CYP4F12
,,,,,,,,,,,,,,,,CYP4F3
,,,,,,,,,,,,,,,,CYP7B1
,,,,,,,,,,,,,,,,CYSLTR1
,,,,,,,,,,,,,,,,CYSLTR2
,,,,,,,,,,,,,,,,CYTH4
,,,,,,,,,,,,,,,,CYTIP
,,,,,,,,,,,,,,,,CYTL1
,,,,,,,,,,,,,,,,CYYR1
,,,,,,,,,,,,,,,,CYYR1-AS1
,,,,,,,,,,,,,,,,DAAM2
,,,,,,,,,,,,,,,,DAB1
,,,,,,,,,,,,,,,,DAB2
,,,,,,,,,,,,,,,,DACH1
,,,,,,,,,,,,,,,,DACH2
,,,,,,,,,,,,,,,,DAGLB
,,,,,,,,,,,,,,,,DAP
,,,,,,,,,,,,,,,,DAPK2
,,,,,,,,,,,,,,,,DAPP1
,,,,,,,,,,,,,,,,DAZAP1
,,,,,,,,,,,,,,,,DAZAP2
,,,,,,,,,,,,,,,,DBI
,,,,,,,,,,,,,,,,DBP
,,,,,,,,,,,,,,,,DBX2
,,,,,,,,,,,,,,,,DCBLD1
,,,,,,,,,,,,,,,,DCC
,,,,,,,,,,,,,,,,DCDC2
,,,,,,,,,,,,,,,,DCDC2C
,,,,,,,,,,,,,,,,DCHS2
,,,,,,,,,,,,,,,,DCLK2
,,,,,,,,,,,,,,,,DCN
,,,,,,,,,,,,,,,,DCST2
,,,,,,,,,,,,,,,,DDAH1
,,,,,,,,,,,,,,,,DDAH2
,,,,,,,,,,,,,,,,DDB2
,,,,,,,,,,,,,,,,DDIT3
,,,,,,,,,,,,,,,,DDIT4
,,,,,,,,,,,,,,,,DDO
,,,,,,,,,,,,,,,,DDR2
,,,,,,,,,,,,,,,,DDX20
,,,,,,,,,,,,,,,,DDX21
,,,,,,,,,,,,,,,,DDX3Y
,,,,,,,,,,,,,,,,DDX4
,,,,,,,,,,,,,,,,DDX43
,,,,,,,,,,,,,,,,DDX53
,,,,,,,,,,,,,,,,DDX60
,,,,,,,,,,,,,,,,DDX60L
,,,,,,,,,,,,,,,,DEAF1
,,,,,,,,,,,,,,,,DEF6
,,,,,,,,,,,,,,,,DENND1C
,,,,,,,,,,,,,,,,DENND2A
,,,,,,,,,,,,,,,,DENND2C
,,,,,,,,,,,,,,,,DENND3
,,,,,,,,,,,,,,,,DEPDC1B
,,,,,,,,,,,,,,,,DEPDC7
,,,,,,,,,,,,,,,,DEPTOR
,,,,,,,,,,,,,,,,DERA
,,,,,,,,,,,,,,,,DGAT2L6
,,,,,,,,,,,,,,,,DGCR8
,,,,,,,,,,,,,,,,DGKB
,,,,,,,,,,,,,,,,DGKG
,,,,,,,,,,,,,,,,DGKH
,,,,,,,,,,,,,,,,DHCR24
,,,,,,,,,,,,,,,,DHCR7
,,,,,,,,,,,,,,,,DHRS3
,,,,,,,,,,,,,,,,DHRS9
,,,,,,,,,,,,,,,,DHX36
,,,,,,,,,,,,,,,,DIAPH2
,,,,,,,,,,,,,,,,DIAPH2-AS1
,,,,,,,,,,,,,,,,DIAPH3
,,,,,,,,,,,,,,,,DIDO1
,,,,,,,,,,,,,,,,DIO1
,,,,,,,,,,,,,,,,DIO2
,,,,,,,,,,,,,,,,DIO2-AS1
,,,,,,,,,,,,,,,,DIO3OS
,,,,,,,,,,,,,,,,DIRC3
,,,,,,,,,,,,,,,,DIS3
,,,,,,,,,,,,,,,,DISC1
,,,,,,,,,,,,,,,,DISC1FP1
,,,,,,,,,,,,,,,,DISP1
,,,,,,,,,,,,,,,,DKK2
,,,,,,,,,,,,,,,,DLC1
,,,,,,,,,,,,,,,,DLEU1
,,,,,,,,,,,,,,,,DLEU7
,,,,,,,,,,,,,,,,DLGAP1
,,,,,,,,,,,,,,,,DLGAP1-AS5
,,,,,,,,,,,,,,,,DLGAP2
,,,,,,,,,,,,,,,,DLL1
,,,,,,,,,,,,,,,,DLL4
,,,,,,,,,,,,,,,,DLX1
,,,,,,,,,,,,,,,,DLX2
,,,,,,,,,,,,,,,,DLX4
,,,,,,,,,,,,,,,,DLX5
,,,,,,,,,,,,,,,,DLX6
,,,,,,,,,,,,,,,,DLX6-AS1
,,,,,,,,,,,,,,,,DMAP1
,,,,,,,,,,,,,,,,DMBX1
,,,,,,,,,,,,,,,,DMC1
,,,,,,,,,,,,,,,,DMRT1
,,,,,,,,,,,,,,,,DMRT2
,,,,,,,,,,,,,,,,DMRT3
,,,,,,,,,,,,,,,,DMRTA1
,,,,,,,,,,,,,,,,DMRTA2
,,,,,,,,,,,,,,,,DMRTC2
,,,,,,,,,,,,,,,,DNAH11
,,,,,,,,,,,,,,,,DNAH12
,,,,,,,,,,,,,,,,DNAH17
,,,,,,,,,,,,,,,,DNAH7
,,,,,,,,,,,,,,,,DNAJA4
,,,,,,,,,,,,,,,,DNAJB1
,,,,,,,,,,,,,,,,DNAJC21
,,,,,,,,,,,,,,,,DNAJC22
,,,,,,,,,,,,,,,,DNM1P46
,,,,,,,,,,,,,,,,DNM3OS
,,,,,,,,,,,,,,,,DNMT1
,,,,,,,,,,,,,,,,DNMT3A
,,,,,,,,,,,,,,,,DNTTIP1
,,,,,,,,,,,,,,,,DOCK11
,,,,,,,,,,,,,,,,DOCK2
,,,,,,,,,,,,,,,,DOCK4-AS1
,,,,,,,,,,,,,,,,DOCK5
,,,,,,,,,,,,,,,,DOCK6
,,,,,,,,,,,,,,,,DOCK8
,,,,,,,,,,,,,,,,DOCK9-AS1
,,,,,,,,,,,,,,,,DOHH
,,,,,,,,,,,,,,,,DOK1
,,,,,,,,,,,,,,,,DOK3
,,,,,,,,,,,,,,,,DOK6
,,,,,,,,,,,,,,,,DPEP2
,,,,,,,,,,,,,,,,DPF1
,,,,,,,,,,,,,,,,DPF2
,,,,,,,,,,,,,,,,DPP10-AS1
,,,,,,,,,,,,,,,,DPP10-AS3
,,,,,,,,,,,,,,,,DPRX
,,,,,,,,,,,,,,,,DPYD-AS1
,,,,,,,,,,,,,,,,DPYSL3
,,,,,,,,,,,,,,,,DPYSL5
,,,,,,,,,,,,,,,,DR1
,,,,,,,,,,,,,,,,DRAIC
,,,,,,,,,,,,,,,,DRAM1
,,,,,,,,,,,,,,,,DRAP1
,,,,,,,,,,,,,,,,DRGX
,,,,,,,,,,,,,,,,DSC2
,,,,,,,,,,,,,,,,DSCAM
,,,,,,,,,,,,,,,,DSP
,,,,,,,,,,,,,,,,DTHD1
,,,,,,,,,,,,,,,,DTL
,,,,,,,,,,,,,,,,DTNA
,,,,,,,,,,,,,,,,DTX3L
,,,,,,,,,,,,,,,,DUOX1
,,,,,,,,,,,,,,,,DUS2
,,,,,,,,,,,,,,,,DUS3L
,,,,,,,,,,,,,,,,DUSP1
,,,,,,,,,,,,,,,,DUSP10
,,,,,,,,,,,,,,,,DUSP16
,,,,,,,,,,,,,,,,DUSP2
,,,,,,,,,,,,,,,,DUSP22
,,,,,,,,,,,,,,,,DUSP26
,,,,,,,,,,,,,,,,DUSP5
,,,,,,,,,,,,,,,,DUSP6
,,,,,,,,,,,,,,,,DUX4
,,,,,,,,,,,,,,,,DUXA
,,,,,,,,,,,,,,,,DYSF
,,,,,,,,,,,,,,,,E2F1
,,,,,,,,,,,,,,,,E2F2
,,,,,,,,,,,,,,,,E2F3
,,,,,,,,,,,,,,,,E2F4
,,,,,,,,,,,,,,,,E2F5
,,,,,,,,,,,,,,,,E2F6
,,,,,,,,,,,,,,,,E2F7
,,,,,,,,,,,,,,,,E2F8
,,,,,,,,,,,,,,,,E4F1
,,,,,,,,,,,,,,,,EAF2
,,,,,,,,,,,,,,,,EBF1
,,,,,,,,,,,,,,,,EBF2
,,,,,,,,,,,,,,,,EBF3
,,,,,,,,,,,,,,,,EBF4
,,,,,,,,,,,,,,,,EBI3
,,,,,,,,,,,,,,,,ECHDC3
,,,,,,,,,,,,,,,,ECM2
,,,,,,,,,,,,,,,,ECSIT
,,,,,,,,,,,,,,,,ECT2
,,,,,,,,,,,,,,,,EDA
,,,,,,,,,,,,,,,,EDA2R
,,,,,,,,,,,,,,,,EDN1
,,,,,,,,,,,,,,,,EDNRA
,,,,,,,,,,,,,,,,EDNRB
,,,,,,,,,,,,,,,,EDNRB-AS1
,,,,,,,,,,,,,,,,EEF1B2
,,,,,,,,,,,,,,,,EEF1D
,,,,,,,,,,,,,,,,EFCAB13
,,,,,,,,,,,,,,,,EFCAB14-AS1
,,,,,,,,,,,,,,,,EFEMP1
,,,,,,,,,,,,,,,,EFHD1
,,,,,,,,,,,,,,,,EFNA1
,,,,,,,,,,,,,,,,EFNA5
,,,,,,,,,,,,,,,,EFS
,,,,,,,,,,,,,,,,EGFEM1P
,,,,,,,,,,,,,,,,EGFL7
,,,,,,,,,,,,,,,,EGFLAM
,,,,,,,,,,,,,,,,EGFR
,,,,,,,,,,,,,,,,EGLN3
,,,,,,,,,,,,,,,,EGR1
,,,,,,,,,,,,,,,,EGR2
,,,,,,,,,,,,,,,,EGR3
,,,,,,,,,,,,,,,,EGR4
,,,,,,,,,,,,,,,,EHBP1L1
,,,,,,,,,,,,,,,,EHD4
,,,,,,,,,,,,,,,,EHF
,,,,,,,,,,,,,,,,EIF4A3
,,,,,,,,,,,,,,,,EIF5A2
,,,,,,,,,,,,,,,,ELAVL2
,,,,,,,,,,,,,,,,ELF1
,,,,,,,,,,,,,,,,ELF2
,,,,,,,,,,,,,,,,ELF3
,,,,,,,,,,,,,,,,ELF4
,,,,,,,,,,,,,,,,ELF5
,,,,,,,,,,,,,,,,ELK1
,,,,,,,,,,,,,,,,ELK3
,,,,,,,,,,,,,,,,ELK4
,,,,,,,,,,,,,,,,ELL2
,,,,,,,,,,,,,,,,ELMO1-AS1
,,,,,,,,,,,,,,,,ELN
,,,,,,,,,,,,,,,,ELOVL1
,,,,,,,,,,,,,,,,ELOVL2
,,,,,,,,,,,,,,,,ELOVL5
,,,,,,,,,,,,,,,,ELOVL7
,,,,,,,,,,,,,,,,EMB
,,,,,,,,,,,,,,,,EMC10
,,,,,,,,,,,,,,,,EMCN
,,,,,,,,,,,,,,,,EMID1
,,,,,,,,,,,,,,,,EMILIN1
,,,,,,,,,,,,,,,,EMILIN2
,,,,,,,,,,,,,,,,EML3
,,,,,,,,,,,,,,,,EML4
,,,,,,,,,,,,,,,,EMP1
,,,,,,,,,,,,,,,,EMP2
,,,,,,,,,,,,,,,,EMP3
,,,,,,,,,,,,,,,,EMX1
,,,,,,,,,,,,,,,,EMX2
,,,,,,,,,,,,,,,,EMX2OS
,,,,,,,,,,,,,,,,EN2
,,,,,,,,,,,,,,,,ENG
,,,,,,,,,,,,,,,,ENO1
,,,,,,,,,,,,,,,,ENO4
,,,,,,,,,,,,,,,,ENOSF1
,,,,,,,,,,,,,,,,ENOX2
,,,,,,,,,,,,,,,,ENPEP
,,,,,,,,,,,,,,,,ENPP1
,,,,,,,,,,,,,,,,ENPP2
,,,,,,,,,,,,,,,,ENPP6
,,,,,,,,,,,,,,,,ENTHD1
,,,,,,,,,,,,,,,,ENTPD1
,,,,,,,,,,,,,,,,ENTPD1-AS1
,,,,,,,,,,,,,,,,ENTPD2
,,,,,,,,,,,,,,,,EOMES
,,,,,,,,,,,,,,,,EP300
,,,,,,,,,,,,,,,,EPAS1
,,,,,,,,,,,,,,,,EPB41L4A
,,,,,,,,,,,,,,,,EPHA1-AS1
,,,,,,,,,,,,,,,,EPHA2
,,,,,,,,,,,,,,,,EPHA3
,,,,,,,,,,,,,,,,EPHA5
,,,,,,,,,,,,,,,,EPHA6
,,,,,,,,,,,,,,,,EPHA7
,,,,,,,,,,,,,,,,EPHB1
,,,,,,,,,,,,,,,,EPHX1
,,,,,,,,,,,,,,,,EPN2
,,,,,,,,,,,,,,,,EPN2-AS1
,,,,,,,,,,,,,,,,EPOR
,,,,,,,,,,,,,,,,EPS8
,,,,,,,,,,,,,,,,EPSTI1
,,,,,,,,,,,,,,,,ERAP2
,,,,,,,,,,,,,,,,ERBB3
,,,,,,,,,,,,,,,,ERCC6L
,,,,,,,,,,,,,,,,ERG
,,,,,,,,,,,,,,,,ERI1
,,,,,,,,,,,,,,,,ERMAP
,,,,,,,,,,,,,,,,ERMN
,,,,,,,,,,,,,,,,ERN1
,,,,,,,,,,,,,,,,ERRFI1
,,,,,,,,,,,,,,,,ESAM
,,,,,,,,,,,,,,,,ESR1
,,,,,,,,,,,,,,,,ESR2
,,,,,,,,,,,,,,,,ESRP1
,,,,,,,,,,,,,,,,ESRRA
,,,,,,,,,,,,,,,,ESRRB
,,,,,,,,,,,,,,,,ESRRG
,,,,,,,,,,,,,,,,ESYT2
,,,,,,,,,,,,,,,,ETFB
,,,,,,,,,,,,,,,,ETNPPL
,,,,,,,,,,,,,,,,ETS1
,,,,,,,,,,,,,,,,ETS2
,,,,,,,,,,,,,,,,ETV1
,,,,,,,,,,,,,,,,ETV2
,,,,,,,,,,,,,,,,ETV3
,,,,,,,,,,,,,,,,ETV4
,,,,,,,,,,,,,,,,ETV5
,,,,,,,,,,,,,,,,ETV6
,,,,,,,,,,,,,,,,ETV7
,,,,,,,,,,,,,,,,EVC2
,,,,,,,,,,,,,,,,EVI2A
,,,,,,,,,,,,,,,,EVI2B
,,,,,,,,,,,,,,,,EWSR1
,,,,,,,,,,,,,,,,EXO5
,,,,,,,,,,,,,,,,EXPH5
,,,,,,,,,,,,,,,,EYA1
,,,,,,,,,,,,,,,,EYA2
,,,,,,,,,,,,,,,,EYA4
,,,,,,,,,,,,,,,,EYS
,,,,,,,,,,,,,,,,EZH2
,,,,,,,,,,,,,,,,EZR
,,,,,,,,,,,,,,,,F11-AS1
,,,,,,,,,,,,,,,,F11R
,,,,,,,,,,,,,,,,F13A1
,,,,,,,,,,,,,,,,F2R
,,,,,,,,,,,,,,,,F3
,,,,,,,,,,,,,,,,F8
,,,,,,,,,,,,,,,,FA2H
,,,,,,,,,,,,,,,,FAAP24
,,,,,,,,,,,,,,,,FABP7
,,,,,,,,,,,,,,,,FAM107A
,,,,,,,,,,,,,,,,FAM107B
,,,,,,,,,,,,,,,,FAM110B
,,,,,,,,,,,,,,,,FAM111A
,,,,,,,,,,,,,,,,FAM114A1
,,,,,,,,,,,,,,,,FAM118A
,,,,,,,,,,,,,,,,FAM124A
,,,,,,,,,,,,,,,,FAM126A
,,,,,,,,,,,,,,,,FAM149A
,,,,,,,,,,,,,,,,FAM157A
,,,,,,,,,,,,,,,,FAM160A1
,,,,,,,,,,,,,,,,FAM167A
,,,,,,,,,,,,,,,,FAM167A-AS1
,,,,,,,,,,,,,,,,FAM177B
,,,,,,,,,,,,,,,,FAM178B
,,,,,,,,,,,,,,,,FAM181B
,,,,,,,,,,,,,,,,FAM186A
,,,,,,,,,,,,,,,,FAM189A2
,,,,,,,,,,,,,,,,FAM20A
,,,,,,,,,,,,,,,,FAM217A
,,,,,,,,,,,,,,,,FAM222A-AS1
,,,,,,,,,,,,,,,,FAM53A
,,,,,,,,,,,,,,,,FAM53B-AS1
,,,,,,,,,,,,,,,,FAM78A
,,,,,,,,,,,,,,,,FAM89A
,,,,,,,,,,,,,,,,FANCB
,,,,,,,,,,,,,,,,FANCC
,,,,,,,,,,,,,,,,FANK1
,,,,,,,,,,,,,,,,FAP
,,,,,,,,,,,,,,,,FAS
,,,,,,,,,,,,,,,,FAT1
,,,,,,,,,,,,,,,,FAT3
,,,,,,,,,,,,,,,,FAT4
,,,,,,,,,,,,,,,,FAU
,,,,,,,,,,,,,,,,FAXDC2
,,,,,,,,,,,,,,,,FBLN1
,,,,,,,,,,,,,,,,FBLN2
,,,,,,,,,,,,,,,,FBLN5
,,,,,,,,,,,,,,,,FBN2
,,,,,,,,,,,,,,,,FBXL19
,,,,,,,,,,,,,,,,FBXL7
,,,,,,,,,,,,,,,,FCER1G
,,,,,,,,,,,,,,,,FCGBP
,,,,,,,,,,,,,,,,FCGR1A
,,,,,,,,,,,,,,,,FCGR1B
,,,,,,,,,,,,,,,,FCGR1CP
,,,,,,,,,,,,,,,,FCGR2A
,,,,,,,,,,,,,,,,FCGR3A
,,,,,,,,,,,,,,,,FCGRT
,,,,,,,,,,,,,,,,FENDRR
,,,,,,,,,,,,,,,,FER1L6
,,,,,,,,,,,,,,,,FER1L6-AS1
,,,,,,,,,,,,,,,,FER1L6-AS2
,,,,,,,,,,,,,,,,FERMT1
,,,,,,,,,,,,,,,,FERMT3
,,,,,,,,,,,,,,,,FES
,,,,,,,,,,,,,,,,FEZ1
,,,,,,,,,,,,,,,,FEZF1
,,,,,,,,,,,,,,,,FEZF2
,,,,,,,,,,,,,,,,FGD2
,,,,,,,,,,,,,,,,FGD3
,,,,,,,,,,,,,,,,FGD4
,,,,,,,,,,,,,,,,FGD5
,,,,,,,,,,,,,,,,FGD6
,,,,,,,,,,,,,,,,FGF1
,,,,,,,,,,,,,,,,FGF10
,,,,,,,,,,,,,,,,FGF13
,,,,,,,,,,,,,,,,FGF14
,,,,,,,,,,,,,,,,FGF2
,,,,,,,,,,,,,,,,FGF20
,,,,,,,,,,,,,,,,FGF7
,,,,,,,,,,,,,,,,FGFR1
,,,,,,,,,,,,,,,,FGFR3
,,,,,,,,,,,,,,,,FGL1
,,,,,,,,,,,,,,,,FGL2
,,,,,,,,,,,,,,,,FGR
,,,,,,,,,,,,,,,,FHL2
,,,,,,,,,,,,,,,,FHL3
,,,,,,,,,,,,,,,,FHL5
,,,,,,,,,,,,,,,,FHOD1
,,,,,,,,,,,,,,,,FIGLA
,,,,,,,,,,,,,,,,FIGN
,,,,,,,,,,,,,,,,FILIP1
,,,,,,,,,,,,,,,,FILIP1L
,,,,,,,,,,,,,,,,FIP1L1
,,,,,,,,,,,,,,,,FIRRE
,,,,,,,,,,,,,,,,FIS1
,,,,,,,,,,,,,,,,FIZ1
,,,,,,,,,,,,,,,,FKBP10
,,,,,,,,,,,,,,,,FKBP5
,,,,,,,,,,,,,,,,FLI1
,,,,,,,,,,,,,,,,FLJ40194
,,,,,,,,,,,,,,,,FLJ46284
,,,,,,,,,,,,,,,,FLNA
,,,,,,,,,,,,,,,,FLNC
,,,,,,,,,,,,,,,,FLRT2
,,,,,,,,,,,,,,,,FLT1
,,,,,,,,,,,,,,,,FLT3
,,,,,,,,,,,,,,,,FLVCR2
,,,,,,,,,,,,,,,,FMN1
,,,,,,,,,,,,,,,,FMNL1
,,,,,,,,,,,,,,,,FMNL3
,,,,,,,,,,,,,,,,FMO2
,,,,,,,,,,,,,,,,FMO3
,,,,,,,,,,,,,,,,FMO4
,,,,,,,,,,,,,,,,FMO5
,,,,,,,,,,,,,,,,FMO6P
,,,,,,,,,,,,,,,,FN1
,,,,,,,,,,,,,,,,FNDC3B
,,,,,,,,,,,,,,,,FOLH1
,,,,,,,,,,,,,,,,FOS
,,,,,,,,,,,,,,,,FOSB
,,,,,,,,,,,,,,,,FOSL1
,,,,,,,,,,,,,,,,FOSL2
,,,,,,,,,,,,,,,,FOXA3
,,,,,,,,,,,,,,,,FOXB1
,,,,,,,,,,,,,,,,FOXC1
,,,,,,,,,,,,,,,,FOXC2
,,,,,,,,,,,,,,,,FOXD1
,,,,,,,,,,,,,,,,FOXD2
,,,,,,,,,,,,,,,,FOXD4
,,,,,,,,,,,,,,,,FOXD4L1
,,,,,,,,,,,,,,,,FOXD4L3
,,,,,,,,,,,,,,,,FOXD4L5
,,,,,,,,,,,,,,,,FOXD4L6
,,,,,,,,,,,,,,,,FOXF1
,,,,,,,,,,,,,,,,FOXF2
,,,,,,,,,,,,,,,,FOXH1
,,,,,,,,,,,,,,,,FOXJ1
,,,,,,,,,,,,,,,,FOXJ2
,,,,,,,,,,,,,,,,FOXJ3
,,,,,,,,,,,,,,,,FOXK1
,,,,,,,,,,,,,,,,FOXK2
,,,,,,,,,,,,,,,,FOXL1
,,,,,,,,,,,,,,,,FOXL2
,,,,,,,,,,,,,,,,FOXM1
,,,,,,,,,,,,,,,,FOXN2
,,,,,,,,,,,,,,,,FOXN3
,,,,,,,,,,,,,,,,FOXN3-AS2
,,,,,,,,,,,,,,,,FOXN4
,,,,,,,,,,,,,,,,FOXO1
,,,,,,,,,,,,,,,,FOXO3
,,,,,,,,,,,,,,,,FOXO4
,,,,,,,,,,,,,,,,FOXO6
,,,,,,,,,,,,,,,,FOXP1
,,,,,,,,,,,,,,,,FOXP1-AS1
,,,,,,,,,,,,,,,,FOXP2
,,,,,,,,,,,,,,,,FOXP3
,,,,,,,,,,,,,,,,FOXP4
,,,,,,,,,,,,,,,,FOXQ1
,,,,,,,,,,,,,,,,FOXR1
,,,,,,,,,,,,,,,,FOXS1
,,,,,,,,,,,,,,,,FPR1
,,,,,,,,,,,,,,,,FPR3
,,,,,,,,,,,,,,,,FRAS1
,,,,,,,,,,,,,,,,FREM1
,,,,,,,,,,,,,,,,FREM2
,,,,,,,,,,,,,,,,FRK
,,,,,,,,,,,,,,,,FRMD3
,,,,,,,,,,,,,,,,FRMD4B
,,,,,,,,,,,,,,,,FRMD6
,,,,,,,,,,,,,,,,FRMPD2
,,,,,,,,,,,,,,,,FRMPD3
,,,,,,,,,,,,,,,,FRMPD4
,,,,,,,,,,,,,,,,FRRS1
,,,,,,,,,,,,,,,,FRZB
,,,,,,,,,,,,,,,,FSCN1
,,,,,,,,,,,,,,,,FSHR
,,,,,,,,,,,,,,,,FSIP2
,,,,,,,,,,,,,,,,FSTL1
,,,,,,,,,,,,,,,,FSTL4
,,,,,,,,,,,,,,,,FSTL5
